year,period,periodName,value,calculations.pct_changes.12,ID,area_name,laus_check,item_name
2014,M08,August,241.196,2.0,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2014,M06,June,241.455,2.1,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2014,M04,April,240.37,2.4,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2014,M02,February,236.309,1.1,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2013,M12,December,234.679,1.2,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2013,M10,October,236.413,0.6,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2013,M08,August,236.448,1.1,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2013,M06,June,236.494,1.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2013,M04,April,234.834,1.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2013,M02,February,233.83,1.8,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2012,M12,December,231.819,1.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2012,M10,October,235.067,2.2,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2012,M08,August,233.934,2.4,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2012,M06,June,233.503,2.6,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2012,M04,April,231.908,2.7,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2012,M02,February,229.638,2.5,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2011,M12,December,228.77,3.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2011,M10,October,230.071,3.7,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2011,M08,August,228.405,2.8,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2011,M06,June,227.677,3.2,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2011,M04,April,225.752,2.2,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
